FK_PERSON_NIF;NAME;EMAIL;PASSWORD;FK_ADDRESS_ID;CREDIT_CARD;CCV;VALID_THRU
223153497;client10;client10@isep.ipp.pt;client10;10;271960104918;111;2020-01-01
240410727;client11;client11@isep.ipp.pt;client11;11;737138013682;111;2020-01-02
216466039;client12;client12@isep.ipp.pt;client12;12;345211873871;111;2020-01-03
221414079;client13;client13@isep.ipp.pt;client13;13;420017165639;111;2020-01-04
262779086;client14;client14@isep.ipp.pt;client14;14;470416925593;111;2020-01-05
208019513;client15;client15@isep.ipp.pt;client15;15;507559401000;111;2020-01-06
254240337;client16;client16@isep.ipp.pt;client16;16;280673162015;111;2020-01-07
293057872;client17;client17@isep.ipp.pt;client17;17;308145875268;111;2020-01-08
251682962;client18;client18@isep.ipp.pt;client18;18;841768697374;111;2020-01-09
273248196;client19;client19@isep.ipp.pt;client19;19;875940245123;111;2020-01-10
194362136;client20;client20@isep.ipp.pt;client20;20;500487584295;111;2020-01-11
208952980;client21;client21@isep.ipp.pt;client21;21;869333750639;111;2020-01-12
303136238;client22;client22@isep.ipp.pt;client22;22;751868242960;111;2020-01-13
387940759;client23;client23@isep.ipp.pt;client23;23;239881064342;111;2020-01-14
214487277;client24;client24@isep.ipp.pt;client24;24;375867487835;111;2020-01-15
208854544;client25;client25@isep.ipp.pt;client25;25;256213899635;111;2020-01-16
156755685;client26;client26@isep.ipp.pt;client26;26;775398082801;111;2020-01-17
359769549;client27;client27@isep.ipp.pt;client27;27;946257944119;111;2020-01-18
369665943;client28;client28@isep.ipp.pt;client28;28;246675846389;111;2020-01-19
195418683;client29;client29@isep.ipp.pt;client29;29;335280011982;111;2020-01-20
313303267;client30;client30@isep.ipp.pt;client30;30;529735644048;111;2020-01-21
390414535;client31;client31@isep.ipp.pt;client31;31;989576190674;111;2020-01-22
164236364;client32;client32@isep.ipp.pt;client32;32;611412221605;111;2020-01-23
124123532;client33;client33@isep.ipp.pt;client33;33;321412220903;111;2020-01-23
