FK_PHARMACY_ID;EMAIL;PASSWORD;NAME;FK_PERSON_NIF;WEIGHT
1;courier1@isep.ipp.pt;courier1;courier1;113444253;70
1;courier2@isep.ipp.pt;courier2;courier2;148395616;80
1;courier3@isep.ipp.pt;courier3;courier3;112809681;85
2;courier4@isep.ipp.pt;courier4;courier4;169385432;90
2;courier5@isep.ipp.pt;courier5;courier5;184658989;65
2;courier6@isep.ipp.pt;courier6;courier6;221231244;95
3;courier7@isep.ipp.pt;courier7;courier7;124125464;100
3;courier8@isep.ipp.pt;courier8;courier8;132514123;60
3;courier9@isep.ipp.pt;courier9;courier9;144535723;50
4;courier10@isep.ipp.pt;courier10;courier10;293888937;70
4;courier11@isep.ipp.pt;courier11;courier11;221660496;80
4;courier12@isep.ipp.pt;courier12;courier12;346320131;85
5;courier13@isep.ipp.pt;courier13;courier13;228690892;90
5;courier14@isep.ipp.pt;courier14;courier14;255081830;65
5;courier15@isep.ipp.pt;courier15;courier15;343108706;95
6;courier16@isep.ipp.pt;courier16;courier16;237999310;100
6;courier17@isep.ipp.pt;courier17;courier17;173409352;60
6;courier18@isep.ipp.pt;courier18;courier18;340558853;50
7;courier19@isep.ipp.pt;courier19;courier19;144447301;70
7;courier20@isep.ipp.pt;courier20;courier20;296153884;80
7;courier21@isep.ipp.pt;courier21;courier21;161117946;85
8;courier22@isep.ipp.pt;courier22;courier22;238313407;90
8;courier23@isep.ipp.pt;courier23;courier23;375941929;65
8;courier24@isep.ipp.pt;courier24;courier24;279656837;95
9;courier25@isep.ipp.pt;courier25;courier25;361432738;100
9;courier26@isep.ipp.pt;courier26;courier26;364868858;60
9;courier27@isep.ipp.pt;courier27;courier27;344862496;50
