EMAIL;PASSWORD;FK_ADDRESS_ID;CREDIT_CARD;CCV;VALID;PRODUCT_ID;DESCR;PRICE;WEIGHT;QUANTITY
client10@isep.ipp.pt;client10;10;271960104918;111;01/01/2020;1;Vacina 1;20;0.1;2
client10@isep.ipp.pt;client10;10;271960104918;111;01/01/2020;2;Vacina 2;18;0.1;2
client11@isep.ipp.pt;client11;11;737138013682;111;02/01/2020;1;Vacina 1;20;0.1;2
client11@isep.ipp.pt;client11;11;737138013682;111;02/01/2020;2;Vacina 2;18;0.1;2
client12@isep.ipp.pt;client12;12;345211873871;111;03/01/2020;3;Vacina 3;16;0.1;2
client12@isep.ipp.pt;client12;12;345211873871;111;03/01/2020;4;Vacina 4;22;0.1;2
client13@isep.ipp.pt;client13;13;420017165639;111;04/01/2020;5;Vacina 5;24;0.1;2
client13@isep.ipp.pt;client13;13;420017165639;111;04/01/2020;6;Vacina 6;26;0.1;2
client14@isep.ipp.pt;client14;14;470416925593;111;05/01/2020;1;Vacina 1;20;0.1;2
client14@isep.ipp.pt;client14;14;470416925593;111;05/01/2020;2;Vacina 2;18;0.1;2
client15@isep.ipp.pt;client15;15;507559401000;111;06/01/2020;3;Vacina 3;16;0.1;2
client15@isep.ipp.pt;client15;15;507559401000;111;06/01/2020;4;Vacina 4;22;0.1;2
client16@isep.ipp.pt;client16;16;280673162015;111;07/01/2020;5;Vacina 5;24;0.1;2
client16@isep.ipp.pt;client16;16;280673162015;111;07/01/2020;6;Vacina 6;26;0.1;2
client17@isep.ipp.pt;client17;17;308145875268;111;08/01/2020;1;Vacina 1;20;0.1;2
client17@isep.ipp.pt;client17;17;308145875268;111;08/01/2020;2;Vacina 2;18;0.1;2
client18@isep.ipp.pt;client18;18;841768697374;111;09/01/2020;3;Vacina 3;16;0.1;2
client18@isep.ipp.pt;client18;18;841768697374;111;09/01/2020;4;Vacina 4;22;0.1;2
client19@isep.ipp.pt;client19;19;875940245123;111;10/01/2020;5;Vacina 5;24;0.1;2
client19@isep.ipp.pt;client19;19;875940245123;111;10/01/2020;6;Vacina 6;26;0.1;2
client20@isep.ipp.pt;client20;20;500487584295;111;11/01/2020;1;Vacina 1;20;0.1;2
client20@isep.ipp.pt;client20;20;500487584295;111;11/01/2020;2;Vacina 2;18;0.1;2
client21@isep.ipp.pt;client21;21;869333750639;111;12/01/2020;3;Vacina 3;16;0.1;2
client21@isep.ipp.pt;client21;21;869333750639;111;12/01/2020;4;Vacina 4;22;0.1;2
client22@isep.ipp.pt;client22;22;751868242960;111;13/01/2020;5;Vacina 5;24;0.1;2
client22@isep.ipp.pt;client22;22;751868242960;111;13/01/2020;6;Vacina 6;26;0.1;2
client23@isep.ipp.pt;client23;23;239881064342;111;14/01/2020;1;Vacina 1;20;0.1;2
client23@isep.ipp.pt;client23;23;239881064342;111;14/01/2020;2;Vacina 2;18;0.1;2
client24@isep.ipp.pt;client24;24;375867487835;111;15/01/2020;3;Vacina 3;16;0.1;2
client24@isep.ipp.pt;client24;24;375867487835;111;15/01/2020;4;Vacina 4;22;0.1;2
client25@isep.ipp.pt;client25;25;256213899635;111;16/01/2020;5;Vacina 5;24;0.1;2
client25@isep.ipp.pt;client25;25;256213899635;111;16/01/2020;6;Vacina 6;26;0.1;2
client26@isep.ipp.pt;client26;26;775398082801;111;17/01/2020;1;Vacina 1;20;0.1;2
client26@isep.ipp.pt;client26;26;775398082801;111;17/01/2020;2;Vacina 2;18;0.1;2
client27@isep.ipp.pt;client27;27;946257944119;111;18/01/2020;3;Vacina 3;16;0.1;2
client27@isep.ipp.pt;client27;27;946257944119;111;18/01/2020;4;Vacina 4;22;0.1;2
client28@isep.ipp.pt;client28;28;246675846389;111;19/01/2020;5;Vacina 5;24;0.1;2
client28@isep.ipp.pt;client28;28;246675846389;111;19/01/2020;6;Vacina 6;26;0.1;2
client29@isep.ipp.pt;client29;29;335280011982;111;20/01/2020;1;Vacina 1;20;0.1;2
client29@isep.ipp.pt;client29;29;335280011982;111;20/01/2020;2;Vacina 2;18;0.1;2
client30@isep.ipp.pt;client30;30;529735644048;111;21/01/2020;3;Vacina 3;16;0.1;2
client30@isep.ipp.pt;client30;30;529735644048;111;21/01/2020;4;Vacina 4;22;0.1;2
client31@isep.ipp.pt;client31;31;989576190674;111;22/01/2020;5;Vacina 5;24;0.1;2
client31@isep.ipp.pt;client31;31;989576190674;111;22/01/2020;6;Vacina 6;26;0.1;2
client32@isep.ipp.pt;client32;32;611412221605;111;23/01/2020;1;Vacina 1;20;0.1;2
client32@isep.ipp.pt;client32;32;611412221605;111;23/01/2020;2;Vacina 2;18;0.1;2
client33@isep.ipp.pt;client33;33;321412220903;111;23/01/2020;3;Vacina 3;16;0.1;110
client33@isep.ipp.pt;client33;33;321412220903;111;23/01/2020;4;Vacina 4;22;0.1;110
